Ticker and Top 10 Smallest DTW Values
"MMM: FE (39.123743000000005), MO (39.59057899999998), CPB (45.47594800000001), DD (46.144327), IP (49.03760599999984), C (49.56037100000007), MTB (49.89352700000007), PNW (50.081526), LVS (50.14654700000003), CTSH (50.20816500000011)"
"C: VFC (42.574199000000135), USB (43.16281199999992), IP (49.18035299999996), MMM (49.56037100000007), MTB (50.703750000000056), RTX (54.42727300000004), WELL (55.11442900000013), BK (55.15020200000004), LYB (56.63110599999988), PNW (59.11418600000002)"
"CFG: PNC (27.23643599999999), KEY (29.71834900000002), MGM (29.8000359999999), ZION (30.64640099999997), RF (34.23115200000003), AXP (34.88088100000001), AOS (35.00726900000004), MAR (35.617256), LH (37.774702), CE (37.79330700000004)"
"CLX: AEP (33.79198500000001), FIS (34.770846000000006), CMCSA (36.75980800000004), ETR (37.68639099999997), SBUX (41.30213900000006), ATO (42.52238699999998), CMS (42.66030099999997), EVRG (42.72936799999994), AMGN (43.65355099999998), MDLZ (44.09897099999997)"
"CME: VRSK (27.017099000000005), SBAC (27.552956000000005), V (27.667770999999963), MKC (28.81215200000001), ICE (29.609417000000004), LHX (30.11151099999997), ROP (32.002909), BSX (32.44691299999994), AMT (32.63187300000004), ABT (33.091983999999954)"
"CMS: WEC (16.153456999999978), LNT (17.622229000000015), XEL (20.096521000000003), AEP (20.14775999999998), ATO (23.36178600000004), ETR (25.167665000000017), BRK-B (26.633361000000104), AEE (27.27342100000003), ES (29.00022299999999), WMT (29.138143999999965)"
"KO: DUK (17.048455999999987), ESS (24.67377199999995), AVB (24.93273000000006), ED (28.579904000000045), MDT (29.256811000000017), UDR (30.230243000000023), PEG (31.424235999999976), EQR (32.92359500000003), O (34.88072100000011), FE (35.40186600000004)"
"CTSH: BK (39.65931599999998), D (40.93666799999992), LYB (41.8125259999999), REG (42.78007499999988), K (45.434231999999945), IP (45.87326499999992), MO (46.98225300000008), EQR (47.74919299999995), VZ (48.92021300000008), PEAK (49.18468000000007)"
"CL: IFF (40.13052300000008), VZ (42.98714600000011), CTSH (49.90775399999984), UHS (52.83594699999988), PEAK (53.98295799999989), KMB (55.51887399999991), D (57.76232400000001), PPL (65.91371499999995), REG (67.71533400000006), BXP (69.46679600000009)"
"CMCSA: WTW (26.56540699999996), ALL (28.67331799999993), HON (28.840784999999997), PEG (29.617848999999996), UDR (31.084069999999947), PFE (31.32332800000001), EMR (32.025384999999964), SWK (33.89242099999999), ALLE (35.127733), DTE (35.316327999999984)"
"CMA: YUM (39.12292999999995), NTAP (40.59935199999991), CFG (45.104351), SYY (49.624400999999935), ZION (49.93312000000009), CINF (51.12030900000015), GLW (52.44423100000005), HON (52.53264800000006), STZ (53.557833999999865), KEY (53.707266999999966)"
"CAG: PM (37.844827999999886), MTB (38.73580799999996), K (41.86277799999994), KO (45.332403999999975), L (47.6855609999999), D (49.41307900000002), EIX (51.66734300000002), T (51.76915899999993), MO (53.27646300000018), FE (53.6180720000001)"
"COP: CF (29.01365400000008), ADM (31.39715699999994), IRM (33.43595099999997), HES (37.453547999999984), ORCL (42.52997099999997), AZO (44.016998000000015), PCAR (45.54030100000002), HUBB (47.619971999999954), ORLY (48.49810300000009), MOS (48.98391199999993)"
"ED: NI (23.40221099999999), KO (28.579904000000045), PEG (32.08885599999997), AEP (32.262417000000006), DUK (32.453366), GL (36.76497200000006), AMGN (39.60185999999997), ATO (40.152158), SO (40.51519399999992), ETR (40.64548000000001)"
"STZ: SO (31.660731999999992), GD (32.65621599999998), PEG (33.90112400000001), YUM (34.069112000000054), SWK (34.30604999999997), SBUX (34.472967000000025), DTE (35.40214999999997), CHD (35.77017999999999), CSCO (37.12320799999996), CHRW (37.37156500000005)"
"COO: ARE (24.07681899999997), HON (26.261199000000023), YUM (26.86596800000003), BALL (29.739621999999976), UNP (30.26858900000001), DGX (30.270361), LNT (31.053751999999964), WTW (32.61067800000001), AEE (33.04156700000004), APD (33.49294000000003)"
"CPRT: SNPS (17.268292000000006), MSFT (21.968167), KLAC (22.06685300000003), ODFL (22.308628), CDNS (23.71178800000002), MPWR (26.119817999999952), AVGO (28.70069899999997), CTAS (30.123797000000124), FTNT (30.423151000000004), ANET (33.731943)"
"GLW: EMR (30.16691400000001), KEY (34.353527999999976), YUM (35.49547), HON (35.778908000000015), CE (36.73192499999999), DTE (36.97993899999996), ALL (39.028136), ARE (39.62295100000004), PNC (39.81155), TFC (40.25239299999989)"
"CSGP: TT (24.908708999999995), ANSS (25.506568999999985), A (26.214178), SPGI (26.906728999999995), RMD (29.09305600000004), ACN (29.56302299999995), UNH (30.146224000000004), ZTS (30.24545200000001), CTLT (30.536726999999956), TMUS (30.68179600000001)"
"COST: PLD (14.947658000000017), BRO (16.95823599999998), ACN (16.996154), NDAQ (18.65483100000002), TMO (20.217923000000017), TXN (20.79467000000001), UNH (21.108541), DHR (21.149343000000023), RSG (22.03445500000004), WM (22.16829399999997)"
"CTRA: WMB (53.633014), CAH (66.19198700000017), EOG (68.15159599999986), TAP (69.66101999999981), KMI (73.34580499999988), OMC (74.32333399999987), PXD (75.12664599999978), PSX (75.86829900000001), WAB (82.31766300000004), RL (83.57722600000018)"
"CCI: MKC (23.584071), ROP (25.734269999999903), DLR (26.806718999999937), AEE (26.966433999999957), VRSK (27.21490899999996), ARE (27.664099999999955), APD (27.765728999999983), EXPD (27.766476999999966), SBAC (28.17470699999994), AMT (28.431587999999994)"
"CSX: NSC (23.570611000000003), TXN (26.06838899999995), WM (27.888469000000068), BAC (28.379306999999923), DOV (28.633563000000024), STE (30.549829000000013), J (31.486762000000013), NEE (31.888567000000016), ABT (32.22799200000001), NDSN (32.606246000000006)"
"CMI: DGX (27.22761899999997), WMT (29.426995000000005), UNP (29.74940800000001), GS (30.52323600000003), AES (31.36107799999992), COF (31.71338900000001), PKG (32.44264399999997), TEL (32.56708799999998), ITW (33.0154119999999), LH (33.06974599999998)"
"CVS: SEE (58.70399200000021), FRT (59.94334799999998), AIG (60.0844529999999), WHR (61.19608800000008), KIM (61.53485499999993), REG (68.57570299999998), WAB (70.48848800000007), RL (74.944891), WFC (79.27939799999994), BEN (79.37946899999983)"
"DHR: TMO (14.67308499999997), ACN (16.742391999999978), PLD (18.102123), GOOGL (18.887184000000023), GOOG (19.276099), A (20.853841000000006), COST (21.149343000000023), UNH (21.255090000000006), SPGI (21.44682899999999), NDAQ (21.668393000000016)"
"DRI: PAYX (26.19056699999997), WRB (26.60333299999998), ADP (26.687602000000023), AON (29.941923000000013), MCD (29.99613200000005), BR (31.217664999999933), SYK (31.50265), AME (31.612188000000064), HLT (32.50585999999999), AFL (33.416982999999995)"
"DVA: NWS (33.463905999999994), AKAM (42.78112999999996), NWSA (43.79610799999999), PPG (47.87575699999996), BG (50.41861600000001), SEE (56.28824999999989), REGN (58.95747500000001), LKQ (62.74680099999999), MET (63.427187999999866), MDT (64.05102299999994)"
"DE: CRL (24.709353999999983), BX (25.354592000000007), ZTS (25.86737399999998), TECH (26.54390600000002), BIO (29.23626300000004), PLD (29.304889000000024), TT (29.67810799999998), MSI (30.343822000000024), MOH (30.60385200000005), CDW (31.30312200000003)"
"DAL: RCL (59.12162500000018), MHK (61.17482999999998), LUV (61.29553300000003), VFC (61.69990099999989), DD (65.53247199999996), CPB (69.85898600000003), ZBH (74.17561600000005), LVS (77.00332399999998), INCY (77.17610899999994), HAL (77.44994900000006)"
"XRAY: PPL (59.60178999999995), FRT (60.75868900000008), AIG (62.272979000000056), UHS (63.70881899999997), KIM (65.39242800000002), MO (65.39419500000004), BXP (65.73167299999997), REG (66.12063700000004), EIX (67.77850100000008), K (70.27062399999984)"
"DVN: TRGP (38.90986800000003), MOS (49.17218599999994), MRO (53.47335899999987), F (64.30822200000011), BBWI (65.78488999999995), COP (69.44339400000013), BG (76.04552600000004), PXD (85.0726479999998), XOM (89.64284799999979), CF (89.98134900000032)"
"DXCM: MPWR (30.14646100000005), ODFL (32.356462), MSFT (33.47373399999999), WST (33.50614099999996), POOL (34.11033200000001), FTNT (34.11323399999999), MTCH (34.65251399999996), PODD (35.01261500000002), GNRC (35.12795700000002), MSCI (35.39182199999997)"
"FANG: PFG (40.95008500000009), EOG (46.829939000000046), PXD (51.26406299999999), VLO (53.62233099999997), AFL (55.509934000000015), ULTA (58.56958899999993), MGM (60.39439799999988), CVX (63.18090800000003), GPC (63.32635399999999), EG (66.64976599999999)"
"DLR: PAYX (25.05389699999994), IEX (26.136425000000024), CCI (26.806718999999937), ITW (27.377581999999972), ABT (27.884474999999984), FDS (27.890182999999997), VRSK (28.32155599999996), AME (29.263233999999983), AMT (29.351450999999965), ICE (30.188982)"
"DFS: COF (21.124406), LH (27.89433200000001), TEL (30.231960000000004), FITB (33.97332600000004), AXP (34.12545899999999), JBHT (34.460944999999995), CMI (36.005889999999965), CPT (36.28082399999999), APTV (37.56055499999988), MGM (37.73239700000006)"
"DG: VRSK (22.92942199999997), SBAC (25.97294199999997), EXR (26.59737400000001), V (26.823986000000023), AWK (27.11640800000004), ADI (27.45942400000001), ABT (27.708686), STE (27.792834999999958), AMT (28.011538000000023), TYL (28.34029600000004)"
"DLTR: HIG (38.97915699999996), MET (44.48031299999991), TRV (45.204984000000046), CB (47.299838000000015), BRK-B (48.77183999999996), AMGN (48.89447699999985), CI (49.20224599999998), KMX (51.131765000000016), EG (51.30304399999992), FFIV (52.08912699999987)"
"D: KMB (29.52545999999997), CTSH (40.93666799999992), VZ (41.14323), HSIC (43.92831199999991), AMCR (44.08198200000007), K (45.66198600000012), EQR (48.04708600000008), CAG (49.41307900000002), T (49.93133400000004), AVB (50.79838499999991)"
"DPZ: TMO (21.828211000000024), BIO (22.603098000000013), MTD (23.67410799999996), ACN (23.967093999999925), TECH (24.319001), ISRG (25.49482600000005), DHR (25.81599400000003), PLD (26.19112400000001), KEYS (27.98189499999996), A (28.39455699999997)"
"DOV: MCO (21.692074000000023), J (21.733652000000024), WM (21.891245), AON (22.133807000000004), IQV (22.185658999999944), PAYX (22.554367000000028), NDSN (22.914878999999964), STE (23.150313999999984), HD (23.18238300000005), ADP (23.52348199999996)"
"DHI: TT (24.682158), ETN (26.244575000000008), IT (28.20715399999999), CTAS (30.667788999999967), CAT (34.67051699999998), ACN (36.901846999999904), ZTS (37.17122300000005), PH (37.323828), URI (37.41318099999996), TECH (37.452705)"
"DTE: PEG (22.881596000000005), SO (24.075477000000024), ALL (25.453148000000077), PEP (26.723581000000028), LNT (27.363923999999976), YUM (27.747449999999965), WTW (28.66906699999995), PG (30.72872999999998), TRV (30.872168), AEP (30.97554400000004)"
"DUK: KO (17.048455999999987), ESS (27.323893000000016), MDT (28.22113300000002), AVB (29.111969000000084), PEG (29.79165899999999), JNJ (30.541801999999954), TRV (30.67538399999998), NI (30.797992999999995), ED (32.453366), UDR (32.74365800000001)"
"DD: MO (44.61803799999999), MMM (46.144327), MTB (48.02057100000005), CPB (48.08824799999999), CTSH (49.39503899999997), TPR (50.69340700000005), FE (53.00718000000008), VFC (54.367795000000015), EQR (55.456291), WELL (56.326164)"
"EMN: UDR (34.14892599999997), FDX (36.13087300000001), LKQ (38.29688400000004), EXPE (39.409567000000045), NTRS (39.75838000000002), EMR (40.56729500000014), TRV (40.82216000000002), FFIV (41.224267999999945), PEG (41.45086200000004), HIG (41.90876300000006)"
"ETN: IT (25.265065000000035), PH (26.159570000000013), DHI (26.244575000000008), PHM (26.581035000000025), AJG (26.86002700000009), NUE (27.099848999999995), LIN (28.920917999999936), HUBB (32.42515899999996), ORLY (32.74120299999991), MSI (33.50565599999995)"
"EBAY: BLK (25.909616000000007), ROK (30.14856100000002), EXR (32.31635000000005), NKE (32.402848000000006), TROW (32.750646), LEN (32.90814499999993), J (33.703783999999935), EFX (34.15126799999996), WAT (34.18594399999998), CCI (36.315087999999896)"
"ECL: ES (27.952133000000057), BF-B (31.99203200000004), BDX (33.06698999999998), MDT (33.31726799999999), EVRG (36.254399000000106), O (37.665690000000126), JNJ (37.88216799999999), PG (40.466451), ESS (40.78581300000002), ETR (41.294393000000056)"
"EIX: K (47.56881200000004), CPB (49.33547900000011), PPL (50.22786999999985), MMM (50.92517300000004), CAG (51.66734300000002), UHS (52.09234499999998), HAS (52.669534999999925), HSIC (55.28488699999992), CTSH (55.84451700000004), REG (56.23987199999998)"
"EW: ZTS (22.826717000000095), COST (23.61357400000002), PLD (24.343126), ACN (24.97197199999999), CDW (25.806921999999982), SPGI (25.989661), BRO (26.019132), RMD (26.16128199999998), CRL (27.095712999999996), NDAQ (27.11259199999996)"
"EA: ALLE (40.67363499999992), LNT (41.07258899999998), CSCO (42.49448299999999), SYY (43.55034199999995), ROST (45.125557), XEL (45.46341999999995), KO (49.93804), WTW (50.23228000000002), UDR (50.89711299999996), FI (51.259117)"
"ELV: MMC (23.55201300000004), LIN (23.82695900000001), APH (28.070128000000015), SHW (28.39257299999998), ADI (29.39793699999994), ADP (29.412217000000016), RSG (29.50497100000004), IQV (30.190813999999992), COST (30.355267999999917), AON (30.99722300000005)"
"LLY: FICO (20.652653999999995), AVGO (26.83346300000001), PWR (28.33797), STLD (31.20357199999998), ON (35.76144099999996), SNPS (39.03728), ANET (48.80809599999992), CDNS (48.98967500000004), KLAC (62.00306300000003), AJG (62.29177800000003)"
"EMR: GLW (30.16691400000001), KEY (31.006378000000048), ALL (31.519273999999992), CMCSA (32.025384999999964), PFE (33.780133999999954), TRV (34.13818), HON (34.4419739999999), SWK (35.01079600000003), UDR (36.62624000000008), LH (37.06007699999998)"
"ENPH: NVDA (26.658486), AMD (35.57431299999998), TSLA (50.235990999999984), GNRC (77.91781399999994), PAYC (81.1157500000001), CDNS (81.51383800000028), CZR (90.63037100000004), FTNT (94.28847200000008), SNPS (95.06077399999997), MTCH (95.95172599999977)"
"ETR: AEP (24.254385999999972), CMS (25.167665000000017), EVRG (29.80317999999998), LNT (29.935779999999973), BDX (31.830171999999965), ES (31.935837), GL (34.50794000000003), XEL (34.930813000000065), WTW (36.18699199999996), KO (37.35044500000007)"
"EOG: PXD (33.77349199999989), PFG (44.40570800000005), FANG (46.829939000000046), MET (56.025792000000045), LKQ (58.229198000000025), XOM (58.81010599999989), EXPE (59.59073799999991), HIG (61.31930400000004), PSX (61.67464599999993), BG (62.029764999999934)"
"EPAM: MPWR (20.587485), GNRC (20.795180000000027), FTNT (21.45530500000001), IDXX (21.86507199999998), MSFT (21.877741000000007), MSCI (22.34789499999999), ODFL (23.021821000000003), MTCH (23.597105000000024), PODD (23.810914999999994), POOL (25.136995)"
"EQT: APA (51.708135999999925), AAL (56.77539800000009), SLB (57.16644100000016), HAL (66.27550800000006), GE (66.70718100000016), OXY (67.51793199999985), BKR (80.24333499999993), VTRS (100.76605300000008), DVN (101.77691199999995), TAP (104.95506699999991)"
"EFX: MLM (30.650678999999965), BLK (31.15141499999996), TROW (32.17938800000004), EBAY (34.15126799999996), MAA (34.15384899999997), J (35.57094300000005), JCI (35.925936), PAYX (36.081895), FDS (37.08305100000003), CBRE (37.60667)"
"EQIX: AWK (21.555306999999985), ACN (21.808511), EXR (23.136686000000044), NEE (24.21235899999998), MA (25.268115000000027), AMT (25.89666399999998), MTD (26.15719199999996), A (26.605076999999987), NDAQ (27.196906999999992), DHR (27.49103100000003)"
"EQR: AVB (18.04979699999997), ESS (25.18314100000006), KO (32.92359500000003), PM (33.67665400000004), USB (35.953324999999936), DUK (36.55707999999992), FE (37.812069), WELL (39.14972299999992), MDT (40.96989999999995), RTX (42.98290799999996)"
"ESS: KO (24.67377199999995), EQR (25.18314100000006), AVB (25.503082999999947), DUK (27.323893000000016), MDT (33.202051999999995), PM (35.91269399999996), RTX (37.112904999999934), BK (39.007486000000014), UDR (39.04761499999982), O (39.64602100000005)"
"EL: ACN (15.736022999999983), IQV (18.91083999999999), NDAQ (19.48812200000003), BRO (20.225337999999965), SPGI (21.834791000000003), PLD (22.78969199999996), MCO (23.041719999999977), TXN (23.11940500000001), ZTS (23.697814999999917), SHW (23.73598700000006)"
"EG: CI (27.49603999999999), TJX (28.12137400000002), EXC (30.664868000000045), CVX (34.01235999999997), AFL (36.16981499999999), GPC (38.845486000000015), PFG (41.87621399999996), MRK (42.710174), BRK-B (42.743077), VMC (43.18642299999996)"
"EVRG: LNT (27.57449700000002), NI (28.94864799999998), ETR (29.80317999999998), CMS (30.624875), AEP (31.67063700000004), JNJ (32.47754099999995), BF-B (32.579532), ATO (33.25556599999995), O (34.173321999999985), ALL (34.87556500000003)"
"ES: ECL (27.952133000000057), JNJ (28.78760000000006), CMS (29.00022299999999), ETR (31.935837), WTW (33.15428700000001), BF-B (34.112392999999976), PFE (34.77188599999997), XEL (35.46793999999995), PG (35.55207799999998), LNT (35.746580000000066)"
"EXC: BRK-B (20.437176999999988), AXP (26.104239000000007), CB (27.665163999999997), PKG (27.745008000000038), DGX (28.572365000000005), TJX (28.84775999999998), BKNG (29.506589999999992), SRE (29.61539700000004), VMC (29.77148899999997), UNP (30.012005999999968)"
"EXPE: EMN (39.409567000000045), MGM (41.72310300000004), KEY (41.94779799999988), HIG (42.51901699999998), AOS (42.63066000000002), LKQ (44.0772560000001), EMR (45.81515999999997), SYF (45.8220600000001), WY (46.13572900000008), CFG (46.79110699999992)"
"EXPD: TEL (23.38221700000005), ICE (23.59135299999999), CPT (23.63050100000004), AME (24.33260800000001), ARE (24.392371999999973), FDS (24.670907), APH (26.67534600000006), ROP (26.721692999999984), WAT (26.92640700000001), PAYX (27.05909599999997)"
"EXR: LOW (20.943973), ACN (21.95133700000003), EQIX (23.136686000000044), NDAQ (23.216587000000025), NKE (23.63431599999999), GOOGL (23.983227000000028), HD (24.18830399999997), NEE (24.35772199999994), FAST (25.113533000000007), AVY (25.20167000000003)"
"XOM: PXD (37.89610300000002), BG (44.112829000000005), GIS (46.34206400000005), MCK (49.35259700000015), SNA (50.34234099999999), GPC (50.5736620000001), MOS (51.70130300000002), KR (51.92067400000004), CVX (54.20083499999997), EOG (58.81010599999989)"
"FFIV: LKQ (37.4910789999999), HIG (37.74020699999996), FDX (39.29277200000008), CHRW (39.32224700000004), GD (39.469138999999984), CMCSA (40.37096600000005), EMN (41.224267999999945), UDR (41.76922299999993), TRV (41.78252699999995), EMR (43.764754)"
"FDS: PAYX (23.18264599999998), CPT (23.76374900000002), EXPD (24.670907), AME (24.786030999999983), ICE (25.01599399999996), IEX (25.27839599999998), FAST (25.81322699999997), DOV (26.75039499999996), DLR (27.890182999999997), NKE (28.28026800000008)"
"FICO: LLY (20.652653999999995), PWR (33.57846300000004), AVGO (35.03989500000004), ON (35.551781000000034), SNPS (43.04602800000004), ANET (44.93068800000001), CDNS (45.06308200000003), STLD (46.591497), KLAC (55.327905999999984), NVDA (56.64451699999992)"
"FAST: PAYX (20.85766199999999), SHW (21.352136000000097), ADP (23.18098700000003), MAA (23.657320999999992), AON (24.37794300000009), AWK (24.80236500000001), ROK (25.007302), APH (25.03944399999995), EXR (25.113533000000007), NKE (25.224339000000068)"
"FRT: BXP (38.71993100000002), WFC (43.62721400000006), SPG (45.52598299999995), PPL (47.388129999999926), UHS (49.55587699999984), CVS (59.94334799999998), XRAY (60.75868900000008), REG (64.76710199999991), MO (69.7512400000001), HST (71.46924699999997)"
"FDX: EMN (36.13087300000001), FFIV (39.29277200000008), DIS (40.26352899999997), WY (47.30907299999996), HBAN (47.935507999999935), IP (48.902333999999954), L (49.14704599999998), LKQ (49.656813), TXT (49.69448199999998), PRU (53.73793199999987)"
"FIS: CLX (34.770846000000006), APD (35.42164199999999), ROST (35.513978000000016), INTC (36.425941999999935), FI (37.36549699999998), SBUX (37.57623400000004), ALL (39.64493600000009), HON (39.88677100000002), ARE (40.97288799999993), BAX (42.97115000000001)"
"FITB: SCHW (25.137092000000013), HPQ (27.39409399999996), TEL (28.18546900000001), CBRE (29.84444600000004), AME (31.378252000000035), DFS (33.97332600000004), HLT (34.75938000000002), APH (35.313180999999986), EXPD (35.8880909999999), PKG (36.03929299999994)"
"FSLR: PANW (51.90940699999997), GWW (58.05523999999992), AZO (65.41807599999997), NUE (67.30250599999991), CF (67.92107600000003), HUBB (67.92460100000012), ACGL (70.51402400000018), STLD (70.72123100000002), PHM (71.01582099999996), ORLY (74.31217800000002)"
"FE: KO (35.40186600000004), WELL (37.40493200000009), RTX (37.59217800000003), EQR (37.812069), MMM (39.123743000000005), ESS (39.77601100000008), DUK (40.23545900000003), MDT (41.545228), MTB (41.82329499999995), ETR (45.02982500000002)"
"FI: TFX (29.318227999999984), VRSK (31.066991999999992), DLR (31.81734100000004), WEC (32.59257599999998), AMT (32.98055900000001), ROP (33.25891800000002), AWK (33.36648999999997), XEL (33.51997999999989), ALLE (33.60938199999993), ROST (34.513166000000005)"
"FLT: GL (39.68687100000005), ETR (40.16325699999995), O (46.764644), HOLX (46.77057199999998), PNW (47.58614099999984), AEP (49.02650399999993), FIS (50.07729200000004), DIS (50.43032200000001), KMX (50.86603599999993), CLX (51.98183599999993)"
"FMC: UNP (28.670092000000075), PKG (33.11207000000002), SBAC (35.45779699999994), ITW (36.06432099999989), ELV (37.19005799999998), HPQ (37.69159999999994), HLT (39.298348), ROP (39.96746899999998), HUM (40.0070479999999), PAYX (40.72722699999998)"
"F: COR (46.01650600000003), ADM (47.28017599999997), MOS (47.825802), WMT (48.57637999999992), MCK (53.42197400000003), NXPI (53.62151600000005), QRVO (56.83026500000021), RHI (59.14818800000012), SWKS (60.832271000000304), MNST (62.81020599999989)"
"FTNT: ODFL (18.370790999999983), MPWR (21.20477299999997), EPAM (21.45530500000001), MSFT (21.652284000000044), LRCX (23.3036), AMAT (23.63293000000004), KLAC (23.76863800000001), GNRC (23.871998999999988), MSCI (27.07510200000002), PODD (27.11174499999998)"
"BEN: BWA (41.33865299999998), BKR (52.84084999999996), IVZ (53.45454400000015), AIG (62.172203999999866), WFC (64.01469799999995), HST (64.03078700000009), WAB (65.98427100000009), VTR (66.92517900000001), IBM (72.80345800000005), BXP (74.45801500000002)"
"FCX: NRG (43.00649300000001), CF (49.20080599999999), TSCO (51.80424399999999), ALB (54.57892600000011), STX (55.93910499999994), URI (56.24512399999995), NUE (58.14791299999996), CTLT (58.41089900000004), CMG (60.39085799999986), UNP (62.0553839999999)"
"GRMN: A (19.912474000000003), PLD (22.258915), ACN (22.864853999999944), ZTS (22.997885), TMO (23.32612899999997), CRL (24.663392000000005), SHW (24.801435), BIO (25.847508999999985), MSI (26.36866700000001), DHR (27.114699)"
"IT: ETN (25.265065000000035), DHI (28.20715399999999), NUE (31.394243999999937), DE (31.609098999999954), TT (33.76551899999996), LIN (33.79691800000002), MSI (35.911828999999976), COST (36.14608399999999), AJG (38.45109299999998), CRL (39.16054699999992)"
"GEN: SCHW (32.733127), AXP (34.49466600000004), AES (34.874435000000005), CBRE (35.438169999999964), BLK (35.87758799999993), FITB (37.90561199999998), ITW (38.76569999999995), HPQ (39.327362999999984), JBHT (40.278987999999856), RHI (40.880374)"
"GNRC: MPWR (19.706975000000032), EPAM (20.795180000000027), FTNT (23.871998999999988), ODFL (24.80745899999997), MTCH (24.904936999999943), MSCI (26.396882000000037), KLAC (29.42014899999999), PAYC (30.904406), LRCX (30.91683299999998), MSFT (32.74991100000004)"
"GD: TRV (25.805062000000007), PEG (31.15618700000005), NTRS (31.732178), STZ (32.65621599999998), UDR (32.850624999999965), PRU (34.05395400000008), CHRW (34.327554000000056), CNP (35.55813999999992), SO (36.600616), MDLZ (36.98923699999988)"
"GE: SLB (62.278056), OXY (63.82389799999988), EQT (66.70718100000016), TAP (69.01680499999992), APA (79.92427899999998), HAL (80.63011499999999), AAL (87.77999799999989), CCL (95.0249450000001), BKR (102.89545700000016), NCLH (104.36215899999964)"
"GIS: KR (36.41130699999997), SNA (39.45366000000013), MDLZ (39.68821299999989), REGN (42.16112999999999), PEP (43.53548799999997), PFE (45.06392099999992), PFG (45.08494400000008), XOM (46.34206400000005), CVX (49.31220499999999), SO (50.36144000000014)"
"GM: PNR (30.15952499999999), GS (36.34626200000001), MET (36.55584299999997), CMI (38.22228900000002), LH (38.71470299999998), PFE (39.072885999999926), TEL (40.925771), HOLX (41.179833000000016), NWS (41.92328599999989), MGM (42.34645800000004)"
"GPC: CVX (31.42684099999997), PSA (31.774543999999985), MNST (31.904086999999947), SNA (33.590908999999854), SRE (33.65845999999999), PFG (34.032639999999965), PEP (35.82677100000004), ADM (36.63461199999996), EG (38.845486000000015), MDLZ (39.04204599999999)"
"GILD: WBA (61.9584889999999), WAB (67.08058299999995), BEN (75.42475999999986), BIIB (80.38542900000007), IBM (81.56162900000018), CPB (84.20595699999988), CVS (88.81015299999996), BXP (90.59575900000002), FRT (91.76386700000003), BWA (92.49528399999996)"
"GPN: CRM (33.838552000000014), LDOS (34.700699999999976), TFX (35.19817399999997), TMUS (35.529892999999966), ROL (37.27169999999997), XYL (37.88027300000003), GRMN (38.424485), CTLT (39.72738599999996), DG (41.16443399999999), V (41.21060699999994)"
"GL: PEG (28.789809999999957), CNP (32.57564999999997), AEP (32.94106199999995), ETR (34.50794000000003), NI (34.52074699999998), SO (34.56849200000005), DTE (36.55917499999996), ED (36.76497200000006), GD (37.68510600000005), TFC (37.813538)"
"GS: PNR (25.71975600000001), LH (26.15172199999998), COF (26.98186900000003), TEL (27.408808999999916), APTV (30.05728699999997), CMI (30.52323600000003), MET (31.886377999999976), JBHT (32.033965999999936), SWKS (34.12172099999997), RHI (34.22923899999992)"
"HAL: OXY (54.71628899999988), APA (59.62456199999992), SLB (60.147067000000064), MHK (62.884782000000016), EQT (66.27550800000006), AAL (67.31793900000002), BKR (69.33248799999983), TAP (73.22116799999992), UAL (77.378807), DAL (77.44994900000006)"
"HIG: TRV (23.719931999999996), PEG (30.94567800000001), CB (35.925954999999966), TFC (36.103009999999976), DTE (36.46736300000002), CHRW (36.50509399999999), LKQ (37.07242300000006), FFIV (37.74020699999996), CMCSA (37.85337400000007), DUK (38.36738799999996)"
"HAS: CNP (43.24200400000004), RTX (46.68504400000008), KO (47.41047699999989), ESS (50.86447399999997), GL (51.36486900000005), MTB (51.46487600000012), FE (52.37308800000008), EIX (52.669534999999925), SYY (52.71216699999996), O (53.03746599999994)"
"HCA: AZO (24.438141999999992), RJF (26.127399000000008), LIN (26.23111500000008), ADI (29.64363600000001), ACN (30.440729000000005), TRMB (30.71782000000004), SHW (31.739091999999967), ABBV (31.75949400000001), CAT (33.05721499999998), HD (33.90950899999997)"
"PEAK: CTSH (49.18468000000007), CL (53.98295799999989), STT (58.03357600000008), KMB (59.98868000000002), REG (60.16536900000014), HST (60.22122100000008), VZ (62.44000599999992), D (63.78536500000008), UHS (64.97028599999999), ZBH (65.19995699999991)"
"HSIC: AMCR (37.856404000000005), SJM (42.81859099999998), D (43.92831199999991), KMB (46.14279700000007), L (49.21236100000004), REG (49.32656600000017), BK (50.29870800000006), IBM (50.64890899999993), CTSH (50.65935700000001), CAG (53.618848000000014)"
"HSY: ORCL (25.843777999999983), WRB (31.14411000000005), PCAR (31.591045), AFL (31.803807000000003), CVX (33.99712800000009), LIN (34.021568000000066), MCD (34.94195899999995), MMC (35.05711900000001), HUM (35.40717100000001), RSG (36.12943300000006)"
"HES: CF (34.905450999999985), COP (37.453547999999984), HUBB (43.58528599999993), IRM (44.86655600000006), MCK (48.83365700000008), HSY (49.73384900000005), PCAR (50.39512500000005), GWW (51.51284499999995), ACGL (53.28946599999996), ETN (53.47045800000001)"
"HLT: AME (21.391180999999985), UNP (22.71834000000001), PAYX (24.23754499999997), AXP (24.409051999999942), APH (24.825175999999967), ADP (25.51022099999997), NSC (25.762332999999945), AES (26.68765099999999), ROK (28.035904), AON (28.629157999999983)"
