Ticker and DTW Values Below 50
"MMM: MMM, FE, MO, CPB, DD, IP, C, MTB"
"AOS: AOS, SBUX, CFG, CINF, YUM, LKQ, EXC, BKNG, PFE, ZION, AIZ"
"NDSN: NDSN, DOV, TXN, J, AON, WM, ROK, ITW, ABT, STE, ADI"
"NSC: NSC, J, CSX, WM, ABT, HLT, UNP, IEX, STE, AXP, NEE"
"NTRS: NTRS, TFC, HBAN, GD, PEG, JNJ, GL, TRV, DUK, EMN, SWK"
"NOC: NOC, WRB, HUM, RSG, TJX, MCD, AFL, MMC, ADP, CBOE, ORCL"
NCLH: NCLH
"NRG: NRG, FMC, FCX"
"NUE: NUE, ETN, IT, PHM, AZO, URI, PANW, HUBB, DHI, AJG, GWW"
"NVDA: NVDA, ENPH, CDNS, TSLA, AMD"
"NVR: NVR, CHTR, ACN, AVY, HD, CRM, META, MCHP, STE, ADP, TYL"
"NXPI: NXPI, JCI, APTV, SWKS, BLK, CBRE, JBHT, UPS, PSA, RHI, GS"
"ORLY: ORLY, AZO, PH, ORCL, LIN, GWW, ETN, NEM, ABBV, HCA, ELV"
OXY: OXY
"ODFL: ODFL, MSFT, FTNT, MPWR, KLAC, CPRT, EPAM, GNRC, INTU, LRCX, SNPS"
"OMC: OMC, L, JNPR, IBM, BMY, SJM"
"ON: ON, PWR, AVGO, KLAC, SNPS, ODFL, FICO, LLY, CDNS, CPRT, FTNT"
"OKE: OKE, FMC"
"ORCL: ORCL, IRM, HSY, LIN, AZO, ORLY, ABBV, PCAR, AMP, PH, MMC"
"PCAR: PCAR, ADM, MRK, IRM, HSY, ORCL, HUBB, EXC, ABBV, VRTX, NOC"
"PKG: PKG, WMT, EXC, ITW, AME, UNP, HLT, JBHT, AXP, CMI, FMC"
"PANW: PANW, AJG, PGR, NUE, ETN, TDG, URI, PHM, AVGO, PWR"
PARA: PARA
"PH: PH, LIN, ETN, ORLY, CAT, AMP, NEM, ORCL, MMC, TT, RSG"
"PAYX: PAYX, APH, AON, MAA, AME, FAST, ADP, ITW, DOV, WAT, J"
"PAYC: PAYC, MSCI, GNRC, NOW, MTCH, TER, LRCX, MPWR, EPAM, CPRT, KLAC"
"PNR: PNR, GS, COF, NWSA, GM, MET, LH, NWS, TEL, PFE, LKQ"
"PEP: PEP, MDLZ, SO, PG, SRE, DTE, PEG, TRV, CB, CMS, PSA"
"PFE: PFE, LH, CB, BRK-B, WTW, CMCSA, EXC, LNT, EMR, ALLE, ES"
PCG: PCG
"PM: PM, EQR, KO, ESS, CAG, AVB, GD, MDT, UDR, DUK, SJM"
PSX: PSX
"PNW: PNW, MDT, FLT, T, VFC"
"PXD: PXD, BG, EOG, XOM, MET, CVX, PFG, GM, GPC, LKQ"
"PNC: PNC, CE, TEL, DGX, CFG, LH, RF, CPT, MAR, ZION, AXP"
"POOL: POOL, WST, INTU, MSFT, MPWR, IDXX, MSCI, NOW, AAPL, ADBE, EPAM"
"PPG: PPG, DIS, DUK, SYF, CHRW, L, WY, MDT, HIG, AVB, TRV"
"PPL: PPL, FRT, K, T, MO"
"PFG: PFG, CVX, GPC, PKG, JBHT, MET, RHI, BRK-B, CB, FANG, EG"
"PG: PG, CHD, PEP, SO, DTE, PEG, MDLZ, WMT, WEC, APD, UPS"
"PGR: PGR, AJG, AVGO, PWR, PANW, CTAS, KLAC, SNPS, TDG, MSI, ETN"
"PLD: PLD, COST, BRO, ACN, TMO, NDAQ, ZTS, DHR, A, RSG, UNH"
"PRU: PRU, TXT, HBAN, GD, L, BK, WY, AMCR, TFC, EMN, ESS"
"PEG: PEG, DTE, TRV, SO, PEP, UDR, JNJ, GL, CMCSA, DUK, AEP"
"PTC: PTC, XYL, BR, RSG, EL, IQV, ROL, ADP, ADI, RMD, MMC"
"PSA: PSA, MDLZ, JBHT, IPG, VMC, UPS, JCI, PEP, GPC, NXPI, CPT"
"PHM: PHM, ETN, TDG, HUBB, NUE, AJG, DHI, PANW, PGR, GWW, ORLY"
"QRVO: QRVO, TSCO, SHW, AES, NXPI, TROW, CBRE, CMI, MLM, AMP, J"
"PWR: PWR, ON, SNPS, AVGO, LLY, PGR, CDNS, AJG, FICO, KLAC, ANET"
"QCOM: QCOM, LOW, STX, SBAC, TGT, EXR, TYL, RVTY, TSCO, STE, HPQ"
"DGX: DGX, BRK-B, PNC, CMI, TEL, VMC, EXC, LH, COO, CE, MAS"
RL: RL
"RJF: RJF, APH, ABBV, HCA, RVTY, LIN, SCHW, HPQ, TRMB, ROK, MS"
"RTX: RTX, L, DUK, USB, CNP, ESS, FE, KO, BK, WELL, GL"
"O: O, BF-B, EVRG, KO, DUK, ETR, ECL, NI, ESS, AEP, HRL"
"REG: REG, CTSH, HSIC, MO"
"REGN: REGN, GIS, KR, BG"
"RF: RF, ZION, PNC, BAC, CFG, AXP, CE, UNP, DOV, NTAP, MAR"
"RSG: RSG, MMC, LIN, ACN, WRB, BRO, PLD, COST, UNH, BR, ROL"
"RMD: RMD, ZTS, TMO, BIO, BRO, PLD, ACN, DHR, A, SPGI, MTD"
"RVTY: RVTY, NDAQ, STE, ACN, MCO, A, LOW, GOOGL, RJF, GOOG, AWK"
"RHI: RHI, JCI, JBHT, AXP, GS, COF, NXPI, SCHW, APTV, TEL, HPQ"
"ROK: ROK, APH, BLK, MLM, PAYX, WAT, ITW, FAST, TROW, NDSN, ABT"
"ROL: ROL, RSG, CRM, ADP, ADI, MMC, AON, ACN, LIN, TMUS, BR"
"ROP: ROP, SYK, IEX, VRSK, CCI, AEE, ARE, EXPD, ICE, APH, SBAC"
"ROST: ROST, ALLE, FI, SYY, FIS, CSCO, APD, BF-B, INTC, MKC, LNT"
RCL: RCL
"SPGI: SPGI, MCO, TMO, GOOG, NDAQ, DHR, A, EL, GOOGL, ACN, PLD"
"CRM: CRM, NVR, XYL, META, ROL, COST, HD, ACN, AVY, BR, SPGI"
"SBAC: SBAC, AMT, ABT, VRSK, DG, TSCO, CME, ROP, CCI, IEX, V"
SLB: SLB
"STX: STX, AMP, MS, QCOM, CBRE, TSCO, HPQ, LOW, SBAC, TRMB, EXR"
"SEE: SEE, WHR, JNPR, AKAM, SYF"
"SRE: SRE, SO, PEP, MDLZ, ADM, EXC, YUM, MRK, GPC, DTE, CB"
"NOW: NOW, MSFT, POOL, ADBE, IDXX, TER, LRCX, MSCI, INTU, AMAT, FTNT"
"SHW: SHW, MAA, HD, NDAQ, MMC, FAST, IQV, MCO, AON, A, ADI"
"SPG: SPG, FRT"
"SWKS: SWKS, NXPI, GS, APTV, KMX, PNR, RHI, COF, JCI, CMI, BLK"
"SJM: SJM, L, JNPR, BK, HSIC, EQR, IBM, PM, AMCR, OMC, LYB"
"SNA: SNA, GPC, MDLZ, GIS, SO, MNST, IPG, AMGN, EG, PFG, PEP"
"SO: SO, MDLZ, PEP, SRE, DTE, PEG, PG, STZ, AEP, GL, CMS"
LUV: LUV
"SWK: SWK, CMCSA, STZ, EMR, ALL, SBUX, HON, HIG, MGM, PEP, TFC"
"SBUX: SBUX, HON, ARE, YUM, AOS, STZ, ICE, PEG, BALL, FDS, CHD"
"STT: STT, IP, RTX, LYB, EQR, CTSH"
"STLD: STLD, LLY, AVGO, PWR, ANET, FICO, ON"
"STE: STE, WM, NEE, AON, DOV, AWK, RVTY, TXN, ADP, ABT, MCD"
"SYK: SYK, MCD, ROP, WM, IEX, AIZ, ITW, PAYX, VRSK, CINF, KDP"
"SYF: SYF, PPG, WHR, WY, LKQ, EXPE, EMN, FFIV, HIG, SEE"
"SNPS: SNPS, CDNS, AVGO, CPRT, KLAC, ANET, PWR, ODFL, ON, PGR, AJG"
"SYY: SYY, XEL, CSCO, ALLE, LNT, ROST, YUM, MKC, AEE, COO, FI"
"TMUS: TMUS, NDAQ, A, CHTR, ADI, AON, HD, SPGI, ACN, COST, MCO"
"TROW: TROW, BLK, APH, ROK, AME, HD, PAYX, MLM, DOV, AON, CBRE"
"TTWO: TTWO, CDW, POOL, MSFT, ADBE, INTU, MPWR, ISRG, PODD, RMD, CRL"
TPR: TPR
"TRGP: TRGP, DVN, MRO"
"TGT: TGT, MCO, CTLT, CHTR, SHW, A, TRMB, RVTY, TYL, IQV, ACN"
"TEL: TEL, JBHT, LH, EXPD, PNC, COF, APTV, AXP, BLK, DGX, GS"
"TDY: TDY, MA, TMO, DHR, SPGI, RMD, A, PLD, ACN, BRO, GOOGL"
"TFX: TFX, FI, NEE, AWK, VRSK, DG, TYL, IEX, DLR, AMT, CHTR"
"TER: TER, LRCX, IDXX, NOW, ADBE, POOL, WST, MSFT, INTU, MSCI, AAPL"
"TSLA: TSLA, AMD, GNRC, PAYC, NVDA"
"TXN: TXN, COST, IQV, PLD, WM, XYL, NDSN, EL, DOV, STE, NDAQ"
"TXT: TXT, PRU, IP, ESS, WY, GD, EMN, HBAN, EQR, BK, TFC"
"TMO: TMO, DHR, PLD, ACN, MTD, UNH, SPGI, ZTS, NDAQ, COST, RMD"
"TJX: TJX, LMT, AFL, EG, EXC, HUM, NOC, MCD, AIZ, ITW, VMC"
"TSCO: TSCO, SBAC, AMP, UNP, ABT, MS, NSC, AME, DOV, J, FDS"
"TT: TT, CRL, UNH, MSI, BX, DHI, CTAS, CSGP, CTLT, ZTS, TECH"
"TDG: TDG, AJG, PHM, CTAS, PGR, MSI, PANW, DHI, ETN, AVGO"
"TRV: TRV, PEG, HIG, GD, PEP, DUK, MDLZ, DTE, CHRW, EMR, UDR"
"TRMB: TRMB, A, MS, SHW, RJF, MCHP, TGT, GOOGL, HCA, RVTY, HD"
"TFC: TFC, NTRS, HBAN, UDR, DUK, HIG, PEG, GL, GD, WTW, SWK"
"TYL: TYL, CHTR, NDAQ, NEE, TMUS, HD, COST, ACN, ANSS, MCO, AWK"
"TSN: TSN, SYY, LNT, GL, CSCO, HON, DTE, ALLE, NI, O, COO"
"USB: USB, BK, EQR, RTX, AVB, MTB, C, KO, FE, ESS, TXT"
"UDR: UDR, PEG, KO, CMCSA, DUK, GD, DTE, WTW, EMN, TFC, PG"
"ULTA: ULTA, TJX, ADP, AFL, NVR, WRB, APH, MMC"
"UNP: UNP, AXP, HLT, ADP, ITW, ABT, AME, NSC, STE, ARE, WM"
UAL: UAL
"UPS: UPS, JCI, CHD, PSA, IPG, MKC, PG, NXPI, JBHT, APD, BALL"
"URI: URI, ALB, NUE, DHI, TT, AXON, ODFL, PANW, AJG, ETN, CRL"
"UNH: UNH, ACN, TMO, BRO, PLD, COST, DHR, A, RSG, MTD, MSI"
"UHS: UHS, FRT, BXP"
VLO: VLO
VTR: VTR
"VRSN: VRSN, NEE, STE, WM, DG, AMT, VRSK, FAST, ABT, AWK, MCD"
"VRSK: VRSK, WM, DG, JKHY, AMT, ROP, SBAC, ADP, AME, J, SYK"
"VZ: VZ, KMB, D, CL, CTSH, AMCR"
"VRTX: VRTX, PCAR"
"VFC: VFC, C, PNW"
VTRS: VTRS
"V: V, AWK, LHX, AON, IEX, HD, APH, PAYX, SHW, FAST, DG"
"VMC: VMC, DGX, PSA, EXC, LH, AIZ, MAS, PNC, CB, MNST, TJX"
"WRB: WRB, RSG, MMC, AON, ADP, NOC, PAYX, AFL, DRI, ADI, WM"
"WAB: WAB, HST"
WBA: WBA
"WMT: WMT, WEC, XEL, PKG, APD, CMS, CMI, ITW, JBHT, ATO, HUM"
"DIS: DIS, PPG, FDX, MDT, CMCSA, EMN, FFIV, HIG, DUK, PRU, MDLZ"
WBD: WBD
"WM: WM, AON, ADP, NEE, MCD, STE, TXN, DOV, COST, NDAQ, MCO"
"WAT: WAT, APH, PAYX, ROK, BLK, NKE, EXPD, AES, AME, ADP, ITW"
"WEC: WEC, XEL, CMS, WMT, LNT, ATO, AEE, BRK-B, APD, FI, PG"
"WFC: WFC, FRT"
"WELL: WELL, DUK, FE, AVB, EQR, KO, BK, L, RTX, CNP, ESS"
"WST: WST, POOL, MSCI, AAPL, MSFT, MPWR, INTU, ADBE, CRL, IDXX, EPAM"
WDC: WDC
"WY: WY, AVB, WHR, LYB, PRU, PPG, L, BK, SYF, IP, EMN"
"WHR: WHR, SEE, WY, SYF"
WMB: WMB
"WTW: WTW, LNT, CMCSA, JNJ, DTE, ALLE, BRK-B, PFE, ALL, COO, ES"
"GWW: GWW, HUBB, ORLY, ETN, PH, ACGL, AZO, ORCL, PHM, LIN, NUE"
WYNN: WYNN
"XEL: XEL, WEC, CMS, AEE, BRK-B, WMT, LNT, SYY, ALLE, APD, MKC"
"XYL: XYL, TXN, CRM, ADP, IQV, BR, WM, MCO, STE, SHW, HD"
"YUM: YUM, ARE, ICE, COO, DTE, APD, CSCO, HON, SRE, BALL, JPM"
"ZBRA: ZBRA, INTU, IDXX, AMAT, KEYS, AAPL, POOL, BX, ADBE, NOW, WST"
ZBH: ZBH
"ZION: ZION, RF, PNC, CFG, AXP, CE, MAR, UNP, KEY, YUM, NTAP"
"ZTS: ZTS, RMD, PLD, BRO, TMO, CRL, ACN, TECH, CDW, EW, GRMN"
