Ticker and Top 10 Smallest DTW Values
"MMM: IFF (64.59623699999999), LUV (64.86370299999994), C (66.637784), SEE (67.8945220000002), USB (69.87554999999999), D (72.63510799999996), IP (75.76776599999985), HAS (81.93592299999982), MDT (83.92115999999997), DIS (85.9885260000003)"
"CSCO: CHD (40.89526600000002), YUM (41.28749499999989), CME (43.09029399999997), APD (43.314385000000016), ROST (43.798699000000056), HON (46.46386199999989), SBUX (46.749593000000026), COO (47.05197900000008), JPM (47.07577599999996), DTE (49.70839199999994)"
"C: USB (50.57139199999989), MTB (57.095824000000114), IP (57.94549900000002), MMM (66.637784), EQR (71.68052499999986), ESS (72.82700500000004), LUV (74.77357900000008), MDT (75.22076100000007), CTSH (78.88786699999991), LVS (79.01319199999995)"
"CFG: PNC (37.49867299999998), KEY (46.521774000000086), ZION (49.93928900000006), RF (57.47764900000001), FITB (58.44423899999988), CMA (58.621322000000006), BAC (59.04002099999987), CPT (59.40534899999998), AES (59.80732300000014), GM (66.70312099999974)"
"CLX: CMCSA (41.685764), PFE (48.21941499999999), UDR (49.64450099999995), MDT (50.76814000000006), ARE (52.410340999999946), ECL (53.53019000000006), PSA (54.37764200000004), CPT (56.70314899999984), LH (56.87833799999999), ES (58.31862100000001)"
"CME: V (30.745964999999934), VRSK (34.600067999999986), ICE (39.20522100000005), ROP (39.318596999999926), FAST (40.20133099999997), IEX (42.266725000000086), CSCO (43.09029399999997), STE (43.17505300000016), JPM (43.31784400000002), AON (44.80642099999999)"
"CMS: WEC (21.395785), LNT (21.652401999999952), AEP (24.317064000000045), XEL (26.218030999999986), ETR (30.584714000000048), AEE (33.380022000000075), EVRG (35.52568899999995), DTE (37.462054999999886), EXC (38.42555499999992), MDLZ (38.44706400000006)"
"KO: DUK (28.447807000000008), ED (29.373452000000015), JNJ (45.131509000000136), PEG (45.43697599999993), PM (45.61104300000004), GL (45.90440300000001), CNP (46.42170900000006), TRV (47.44802700000005), ETR (48.57896300000004), NI (51.42342600000004)"
"CTSH: BK (49.119912999999926), EQR (56.713205999999936), K (57.3557709999999), VZ (58.578531), CPB (59.01206800000003), SJM (61.88681400000001), IP (62.336557999999975), AVB (62.73805399999976), CAG (63.27910599999994), STT (63.46606099999989)"
"CL: K (54.30060000000013), KMB (69.9485889999999), IBM (72.41694200000002), PPL (79.18484799999992), CAG (80.39569500000005), EIX (82.81268100000004), PM (84.05879700000004), CPB (84.36955699999989), ED (84.8630779999996), HSIC (84.92618399999988)"
"CMCSA: CLX (41.685764), UDR (45.40430500000004), ALLE (48.84773499999999), ECL (51.59698299999995), SBUX (55.64915699999994), MDT (56.71221199999989), ES (57.033093999999934), FFIV (57.14871399999994), PNR (57.21802199999984), COO (58.16942700000018)"
"CMA: ZION (57.03440399999997), CFG (58.621322000000006), KEY (63.05556799999998), ARE (80.65682400000007), TFC (84.10284300000012), FMC (85.90424299999998), GLW (87.61430400000008), SWK (91.14538000000024), AES (93.1588910000001), EXPE (94.00860300000018)"
"CAG: K (48.75273800000003), MTB (51.11660199999991), SJM (60.55762900000013), AVB (60.96971999999985), PM (61.63138699999988), ESS (62.19744099999996), FE (62.69956700000003), CTSH (63.27910599999994), REG (66.14410200000009), CPB (66.71124600000022)"
"COP: HES (46.52139399999994), IRM (46.600314999999945), AMP (47.29655299999994), ADM (49.71293699999995), TSCO (51.69039300000008), LEN (53.13586399999995), AZO (54.11367900000006), NXPI (54.649836000000015), HCA (55.89945599999988), RJF (58.03420800000004)"
"ED: KO (29.373452000000015), NI (33.053027999999955), JNJ (34.61238799999998), AMGN (41.05727599999986), DUK (42.31609100000002), PEG (45.87772699999992), ATO (46.10368399999993), GL (46.45232500000005), AEP (46.52272299999994), SO (46.97668000000007)"
"STZ: SO (40.49530099999998), YUM (41.53895700000013), CHD (43.04103900000004), GD (44.97234999999991), PEG (45.872398999999945), PG (48.55427600000013), TRV (48.63096799999998), ALL (49.02411700000016), SRE (49.296045000000056), PEP (50.43244599999981)"
"COO: ALLE (43.56514699999997), UNP (45.280655), CSCO (47.05197900000008), ICE (47.37007800000008), DGX (48.98537899999999), SBUX (49.99098699999995), HON (52.231966999999976), EXC (52.42440099999992), DTE (52.99151600000003), AXP (53.6076030000001)"
"CPRT: SNPS (23.49908000000001), MSFT (27.230507999999947), CDNS (28.82190399999996), KLAC (30.017467000000043), ODFL (35.12163399999996), AVGO (37.831989), MPWR (43.903741000000096), LRCX (44.02694499999999), LLY (44.748685), CTAS (45.62444900000016)"
"GLW: DTE (48.47094799999997), PNC (55.095919), UNP (56.84316900000001), PFE (56.95254599999984), AXP (57.43039999999996), ICE (58.10845299999996), COO (58.19801600000008), CINF (58.747713000000026), RF (60.66240699999997), CMCSA (60.84620599999995)"
"CSGP: SPGI (33.20247000000006), ANSS (35.99594400000005), TT (36.975703), ACN (42.27166399999985), MCO (42.93113999999993), ZTS (43.26537100000007), GOOG (44.186611999999926), BX (44.54011899999987), MTD (45.29264000000005), GOOGL (46.040307000000105)"
"COST: BRO (24.68751699999999), RSG (31.096428000000067), MA (33.788155999999915), TMUS (33.912532), UNH (35.220401000000074), WM (35.7902079999999), ORLY (36.47346999999989), MMC (36.61911399999995), AON (37.70490400000006), FAST (38.53514299999999)"
"CTRA: WY (61.97115399999994), KIM (62.40251000000012), WMB (62.93657299999997), OMC (76.99608499999975), CAH (78.0530360000001), WAB (79.66626100000013), LYB (79.76252399999997), NWS (80.55786700000003), KR (82.49936300000006), EOG (83.415801)"
"CCI: SBAC (33.57259099999993), ARE (36.29933399999995), BALL (37.06769800000007), AMT (40.26609800000001), EXR (44.97399099999972), CPT (45.33022599999993), NKE (47.155372), BAX (47.559579999999976), TFX (48.50352999999993), EBAY (49.52734999999995)"
"CSX: TXN (35.99688099999997), NDSN (39.78893900000008), STE (40.34294200000007), DOV (40.9272240000001), NSC (41.057128999999975), J (42.160721000000095), UNP (43.49669499999996), TDY (43.60075500000004), MCO (45.423581999999946), PTC (45.966774000000015)"
"CMI: UNP (38.81566100000005), TEL (38.83666599999999), PKG (38.92887499999999), GS (40.34985900000001), ITW (40.985727999999895), EXC (41.05760899999998), JBHT (41.54031900000007), DGX (42.50550799999998), AXP (43.49600099999995), BRK-B (43.69755699999989)"
"CVS: WHR (72.52437700000013), FRT (76.72823599999998), KIM (78.78830000000015), SEE (82.14003800000025), CPB (83.10326200000007), BMY (86.69309899999996), CTRA (94.75944400000022), BEN (96.83599199999976), PEAK (97.93150900000008), WFC (99.86080899999963)"
"DHR: TMO (23.25783299999998), ACN (31.47874199999998), NDAQ (32.112346999999964), PLD (33.66870099999997), A (34.636649999999904), MTD (36.31008399999998), SPGI (37.51441199999996), AVY (39.010313000000096), TDY (39.598621), AWK (39.70071000000003)"
"DRI: AME (38.37757900000009), SYK (39.252251000000015), BR (40.516690999999945), MAR (40.87803499999994), WRB (41.1325309999999), ADP (41.93561700000007), NVR (43.79723200000014), HLT (44.56809199999999), ITW (45.41677400000004), MCD (45.84750600000008)"
"DVA: NWS (55.16660299999996), NWSA (58.797492000000105), PPG (59.94472899999989), AKAM (62.95051899999993), SEE (74.13333499999992), LVS (74.40765400000002), FLT (74.44215800000022), DD (74.46460099999997), BG (76.87873400000002), MDT (77.85090199999993)"
"DE: AJG (41.35915900000002), GOOG (41.458621), CDW (42.97109400000002), MOH (45.14331100000003), GOOGL (47.05944299999984), AAPL (48.594902000000026), BRO (51.428926999999966), PGR (51.64956899999996), COST (52.893200999999976), SPGI (54.117949000000095)"
"DAL: DD (79.56777999999989), PEAK (87.49416200000002), LUV (87.50406499999985), RCL (90.55226400000016), LVS (92.26929200000002), D (93.72011099999987), IFF (93.7763379999998), HAL (94.46025699999996), INCY (95.83063399999998), VZ (97.64495100000012)"
"XRAY: BXP (72.227831), PEAK (101.9093659999997), WBA (102.72010999999992), INCY (109.1051060000001), IFF (110.66428999999977), LUV (111.16866399999958), BIIB (112.48601999999984), CPB (121.40631900000002), WDC (122.30968499999976), FRT (122.70626100000004)"
"DVN: MRO (73.47440599999987), MOS (81.16966399999987), TRGP (86.85812600000003), F (99.86161700000018), CF (102.7571900000004), COP (108.64270700000031), BG (113.44921100000003), BBWI (116.74826200000014), EQT (117.98310699999983), FCX (120.46195800000004)"
"DXCM: WST (44.74609499999994), POOL (51.53100800000011), IDXX (52.12754599999997), TER (56.10566799999992), AMZN (57.93942199999999), MPWR (58.99484500000017), TTWO (61.20588899999995), FTNT (61.504101999999946), BX (61.90938699999974), INTU (63.504300000000114)"
"FANG: EOG (56.72865400000008), PFG (59.38692000000011), VLO (63.27752299999992), AFL (64.89121999999999), MGM (65.63508699999994), DFS (67.312107), PXD (68.27703499999986), LKQ (69.64175899999998), DRI (73.93060799999996), COP (80.80602900000017)"
"DLR: AMT (42.788698999999966), MAS (45.76045099999998), CE (47.78395500000008), ICE (48.10489599999996), ROK (48.226165), VRSN (48.34880199999994), BLK (48.42294299999999), EQIX (49.065363000000055), AIZ (49.275962000000064), ABT (50.83170799999998)"
"DFS: LH (43.598847), TEL (43.98859100000002), AXP (46.614050999999975), JCI (51.10063699999999), JBHT (51.763729999999946), GPC (53.74444999999994), EXC (54.35723400000008), GS (55.272383000000005), MGM (55.57280100000019), HOLX (55.65440900000003)"
"DG: TFX (44.80656599999988), SBAC (45.41381399999995), TGT (49.10401200000003), FMC (49.314112), EXR (49.46363700000001), NEE (49.62090600000001), GPN (49.867379), RVTY (51.4241050000001), TROW (52.12462700000002), CHTR (52.25312899999994)"
"DLTR: FFIV (59.12206199999991), LKQ (62.56876300000003), PFE (64.91359400000013), MET (66.2789369999999), EMN (66.71612999999998), CHRW (67.84120899999992), CI (69.658893), GIS (69.81729399999999), CMCSA (70.80731100000007), GLW (70.89451600000008)"
"D: VZ (41.00938299999999), EQR (58.64246600000001), IFF (60.77144600000013), AMCR (63.44832700000013), HRL (64.89957099999994), CAG (67.44079600000006), CTSH (67.71217799999985), PEAK (68.65047900000012), USB (69.70289000000004), T (70.08098899999989)"
"DPZ: PLD (35.063716000000035), ZTS (40.033657000000034), TECH (41.97326000000005), GRMN (44.20936000000007), ACN (44.50949799999991), ADSK (45.29039699999995), LYV (47.57586599999986), EW (47.942568), BX (48.07555399999996), INTU (48.30284899999997)"
"DOV: MCO (29.964340000000018), HD (30.04055000000004), UNP (34.13372099999998), IQV (34.29881299999996), STE (35.37096099999992), SHW (35.74950799999998), ABT (36.30032300000002), AVY (37.87004599999999), XYL (38.32739400000009), NDAQ (38.44664899999995)"
"DHI: ETN (34.031508), TT (34.71362699999995), PHM (36.16318799999996), IT (42.391880000000015), PH (45.74328400000005), HCA (48.43842599999994), ORLY (49.20318499999993), CAT (50.74101800000002), NUE (50.99891100000008), CTAS (51.016565999999855)"
"DTE: LNT (30.997486999999968), PEG (36.08914400000005), AEP (36.53665400000005), CMS (37.462054999999886), SO (38.74564000000003), HON (39.38801), SRE (40.25821999999997), AEE (40.69549700000015), ALL (43.85120600000016), XEL (44.587772999999935)"
"DUK: KO (28.447807000000008), NI (36.13647300000007), JNJ (37.05728599999997), TRV (38.93236699999996), PEG (39.82685899999997), CNP (41.42802900000008), ED (42.31609100000002), ETR (42.55304400000009), AEP (46.91889400000007), LNT (47.592546000000006)"
"DD: CTSH (66.9484759999998), EQR (70.64927799999982), MTB (71.14458800000007), STT (73.6777560000003), DVA (74.46460099999997), BK (75.71613799999965), DAL (79.56777999999989), TPR (81.648632), TAP (82.46848999999993), LVS (83.41437600000003)"
"EMN: UDR (44.03678299999986), NTRS (48.83245899999994), FFIV (53.43339699999992), SYF (55.29147699999995), CHRW (56.61567399999989), HBAN (58.05736599999997), HRL (58.40377800000012), FDX (60.50734), GIS (61.21525199999999), RTX (61.64446000000002)"
"ETN: PH (31.59672400000001), DHI (34.031508), AJG (34.342982000000056), PHM (36.179404000000034), IT (36.660235000000014), LIN (37.35836599999995), HUBB (38.3592369999999), GWW (39.87924399999992), WM (40.67020999999988), UNH (41.105531000000106)"
"EBAY: TROW (40.38699999999996), EXR (45.34381100000009), APTV (47.087834), NKE (47.128939), CCI (49.52734999999995), BALL (50.17050399999994), ARE (51.08825399999992), MAA (52.164286999999945), GEN (53.80881099999974), SBAC (55.1293389999998)"
"ECL: ALLE (50.62075799999993), FLT (50.73456800000012), CMCSA (51.59698299999995), O (51.6617610000001), ES (52.60550000000005), BF-B (53.27357300000009), CLX (53.53019000000006), EVRG (53.90105499999991), ESS (55.29147399999997), AEP (56.12785699999986)"
"EIX: K (62.86603899999996), PPL (64.24995999999992), UHS (65.08706899999994), CPB (66.08293800000014), REG (66.57551900000011), HSIC (69.34623499999991), PNW (71.06703600000012), CAG (74.37001799999994), MO (74.74553899999991), IBM (74.76187299999985)"
"EW: TECH (38.20950600000002), PLD (38.38920100000008), ZTS (41.13601900000008), RMD (42.28995499999997), ADSK (45.43185600000012), POOL (47.919394), DPZ (47.942568), TYL (48.19757600000008), A (49.08534899999991), BIO (49.99779399999997)"
"EA: SYY (50.241194999999806), LNT (50.30861800000005), ETR (52.98062400000003), SO (53.09273599999985), XEL (53.74452699999995), SRE (54.65908600000005), PEG (55.21541900000009), CNP (58.417336000000105), FI (58.42937299999989), CSCO (58.62630200000007)"
"ELV: NDSN (36.924434), TXN (37.722347000000006), J (39.84765300000001), ADP (40.450624), WRB (42.20673400000008), NOC (43.29084299999989), ADI (43.96692399999996), RSG (44.69111600000009), ABBV (45.514877999999925), FAST (45.635317000000114)"
"LLY: AVGO (24.327782000000028), SNPS (28.110979000000025), PWR (30.79101100000003), CDNS (33.86730499999996), FICO (34.954501), MSFT (37.29859900000001), AJG (37.74203499999994), KLAC (38.733924), PGR (39.84024199999997), ODFL (40.78030499999998)"
"EMR: TRV (38.26888599999998), ALL (41.83525900000005), HON (41.842924), HIG (48.820286000000046), BRK-B (49.92974399999992), SO (50.71815699999987), CB (51.72912399999996), YUM (51.98035799999988), CMI (52.195261000000016), PEP (52.73520899999991)"
"ENPH: AMD (77.829149), TSLA (82.03788199999994), GNRC (92.75007800000007), PAYC (100.1374730000001), MTCH (101.1839809999999), CZR (104.70131200000016), NVDA (124.568642), EPAM (126.15720500000002), PODD (128.9174630000003), ZBRA (143.745824)"
"ETR: AEP (28.493772999999976), CMS (30.584714000000048), LNT (37.24108199999995), EVRG (38.36761700000002), XEL (39.81721599999999), DUK (42.55304400000009), AEE (43.62326399999983), BDX (45.593151999999975), O (45.82278899999992), NI (46.86045900000016)"
"EOG: PXD (42.30402299999996), LKQ (49.021578000000034), FANG (56.72865400000008), HIG (57.19584100000016), PFG (58.72335300000003), WY (61.78472300000003), MET (62.50549900000004), EMR (69.3364949999999), XOM (70.6441909999998), TXT (70.79163600000031)"
"EPAM: ZBRA (43.25322400000008), GNRC (51.55899500000002), MKTX (53.76864400000007), MTCH (55.721608), CRL (59.16876499999995), PAYC (59.92695699999992), BIO (70.74990100000007), ALB (75.58287599999994), CZR (76.60154100000001), TER (82.39167700000009)"
"EQT: BKR (74.25317099999992), SLB (80.8216400000002), APA (82.85552700000002), OXY (85.28493399999986), HAL (85.90068000000011), AIG (100.339591), SPG (101.99106700000004), BWA (106.85032800000012), KIM (113.42972299999992), TRGP (113.630195)"
"EFX: BLK (39.15358899999997), MAA (44.51704599999994), CBRE (45.180972), JCI (47.66881799999997), TYL (50.98053300000012), CPT (51.03187199999999), NKE (51.32872700000004), AIZ (57.045993), HD (57.15749100000003), MAS (58.95170699999991)"
"EQIX: MA (32.938826000000006), GOOGL (34.87457699999998), V (34.87682999999998), GOOG (36.46055300000002), RSG (36.703324), STE (36.757135999999946), RJF (38.74621799999994), TMUS (38.789522000000005), FAST (39.21211199999996), MCO (39.947148000000006)"
"EQR: AVB (22.870634999999947), ESS (33.67112900000005), MDT (42.86828899999995), USB (49.56885299999995), ZBH (51.80891500000005), FE (52.097312000000095), IP (53.754132), BK (56.35514299999992), CTSH (56.713205999999936), D (58.64246600000001)"
"ESS: EQR (33.67112900000005), MDT (35.15480800000004), AVB (39.03998599999997), UDR (48.77311499999988), IP (49.25007200000001), MTB (54.52481500000002), ECL (55.29147399999997), BK (56.27326599999999), RTX (58.992651999999936), O (61.00615500000014)"
"EL: RVTY (41.19856799999991), RMD (47.06585699999998), TECH (48.96321100000003), BIO (49.88864300000013), PLD (49.93048399999993), CTLT (51.47456700000002), TRMB (51.837430000000055), NEM (51.97269299999995), CHTR (52.227714999999975), CRL (53.15334499999999)"
"EG: TJX (33.346858000000026), CI (36.2915350000001), BRK-B (40.58398299999997), EXC (42.315494999999984), CB (44.37993300000003), PEP (44.550436000000005), AFL (45.72935700000005), SO (47.91695299999998), DGX (49.14059900000002), MNST (49.25223699999999)"
"EVRG: AEP (32.14012200000002), LNT (34.183521999999975), CMS (35.52568899999995), NI (37.61547799999999), ETR (38.36761700000002), O (38.85274399999992), BF-B (39.13407499999997), AEE (43.598627999999934), JNJ (44.36130799999997), WEC (45.04059500000009)"
"ES: BF-B (46.98512099999997), XEL (47.35913599999997), CMS (47.768940999999984), PFE (47.96948899999991), LNT (48.92539300000007), DTE (49.94707499999996), WEC (51.21986600000007), JNJ (51.50495200000008), HRL (52.01294900000008), ECL (52.60550000000005)"
"EXC: AXP (32.59350300000003), DGX (35.19071099999995), BRK-B (37.906644), MRK (37.94366800000007), CMS (38.42555499999992), LNT (38.65317499999988), UNP (39.4988719999999), CMI (41.05760899999998), TEL (41.15704699999998), SRE (41.44481800000007)"
"EXPE: KEY (60.18908999999972), GM (67.66708599999994), CFG (71.28432599999987), PFE (72.66030999999998), ZION (74.74739500000011), DIS (75.4954780000001), KMX (75.79059200000003), SEE (81.381995), SWK (85.86757499999989), TFC (86.87403300000011)"
"EXPD: ICE (32.84694099999997), TEL (33.538294000000064), ROP (36.07408099999999), FDS (36.17562699999995), AME (36.243266000000006), APH (36.30122500000007), ITW (38.20492899999995), IEX (39.009071999999975), JBHT (40.14105299999999), AXP (40.613723999999934)"
"EXR: AMT (38.43083899999997), NKE (41.17257), DHR (41.464873999999945), RVTY (41.642409), MAA (41.88020499999999), NEE (42.06820799999991), A (42.91749600000004), PLD (44.81064999999987), CCI (44.97399099999972), NDAQ (44.997257)"
"XOM: SNA (43.84576400000004), BG (51.00458900000013), PXD (55.16245399999992), GIS (55.20235900000009), MET (56.1865789999999), MCK (58.8641390000001), GPC (61.20283499999998), LKQ (63.23820799999997), CVX (66.55288000000002), PNR (67.189455)"
"FFIV: EMN (53.43339699999992), CMCSA (57.14871399999994), NTRS (57.56963600000012), SYF (57.740807), DLTR (59.12206199999991), IP (59.511433999999774), UDR (61.57531399999993), MDT (62.95050000000001), HBAN (66.084546), ESS (67.57991899999986)"
"FDS: PAYX (32.74137299999998), AME (34.848571999999976), IEX (35.52706099999998), EXPD (36.17562699999995), FAST (36.60255699999996), APH (37.40615800000003), J (40.75169300000008), WRB (41.29487600000006), ADP (41.97174300000003), FI (42.24740100000001)"
"FICO: LLY (34.954501), SNPS (39.488695000000064), AVGO (43.49049199999992), PWR (44.48261600000004), PGR (44.64777500000007), CPRT (46.74479600000016), CDNS (47.20885500000003), KLAC (49.10523599999996), CTAS (50.92704599999989), MSFT (51.04761499999998)"
"FAST: PAYX (31.34820899999992), AON (32.53156200000007), V (32.86759600000002), APH (33.024072999999944), ADP (35.871730000000035), WRB (36.24105400000011), FDS (36.60255699999996), VRSK (37.06313100000004), TMUS (37.33298400000002), COST (38.53514299999999)"
"FRT: WFC (50.09326500000003), SPG (57.00283599999996), PPL (70.04660199999994), CPB (74.45083500000005), CVS (76.72823599999998), VTR (80.1849759999998), UHS (80.95911999999961), REG (88.08989699999998), K (88.58072300000019), HST (90.95618699999989)"
"FDX: WY (59.80616599999985), EMN (60.50734), PRU (65.55677899999995), BK (66.85408399999994), AOS (66.9979449999998), SBUX (68.36386700000023), PPG (68.78112599999986), WELL (68.90255400000002), HBAN (69.51797799999999), EOG (71.93303899999984)"
"FIS: BAX (38.79037600000001), ARE (56.706428999999936), KMX (62.170282000000064), SWK (62.29244800000008), ILMN (65.02558599999998), CCI (65.09365199999992), INTC (70.22118999999996), BALL (70.4181899999999), TFC (79.6290700000002), TFX (80.95668099999982)"
"FITB: SCHW (40.233550999999935), PNC (43.60085900000009), CBRE (46.100948), TROW (46.69947700000007), APTV (49.05990499999996), WAT (50.11804900000014), GEN (50.4029149999998), NKE (51.00727300000001), AES (52.845355999999946), COF (53.23054699999998)"
"FSLR: QCOM (62.6563880000002), TGT (66.53579500000001), MS (67.96106200000008), AZO (68.61973300000008), STX (68.65573200000007), PANW (68.6674740000001), LYV (68.99317700000006), GWW (71.11883499999983), BX (71.30640399999997), A (73.22867099999982)"
"FE: DUK (48.36999899999998), RTX (49.66964999999997), EQR (52.097312000000095), ETR (53.88486100000002), WELL (56.77127799999997), KO (58.39459300000004), O (58.64709699999998), AVB (58.92093499999997), PNW (62.64538000000015), CAG (62.69956700000003)"
"FI: VRSK (40.293586000000005), ROP (40.97495800000009), ITW (41.56990199999989), FDS (42.24740100000001), ATO (42.479973000000015), CHD (43.52334200000005), APD (44.097128999999846), V (44.98259099999999), AON (45.375155999999926), AME (45.56893599999985)"
"FLT: ECL (50.73456800000012), CMCSA (58.34839799999993), O (62.25404300000002), CLX (62.52049799999996), NWSA (63.14214000000001), ALLE (63.59604500000004), PNR (63.60956799999978), PSA (67.04367400000011), LVS (69.54523999999996), UDR (69.70411900000002)"
"FMC: SBAC (47.26051099999995), DG (49.314112), ARE (53.22457099999992), AES (54.99838400000001), AMT (57.14995899999993), FITB (60.06917400000002), RVTY (60.18285700000001), NEE (60.42181200000007), EL (61.6623399999999), HSY (62.0232769999999)"
"F: MOS (59.64809199999995), QRVO (69.49601500000004), SWKS (70.57951500000057), KMX (73.99020699999997), APTV (75.29220399999996), RHI (77.06272100000017), PFE (78.24650499999981), GM (83.65422800000002), COF (87.0848750000003), ARE (87.5964209999999)"
"FTNT: ODFL (40.18059600000002), MPWR (42.00106000000001), MSCI (42.28354000000007), MSFT (43.84935700000006), ON (46.00619799999999), AMAT (48.65875500000004), KLAC (48.98618299999999), LRCX (49.09674900000001), NOW (50.06618899999994), PODD (50.79065700000005)"
"BEN: BWA (57.16433100000006), VTR (80.28227100000005), BKR (81.01899999999992), IVZ (82.21851000000015), WFC (83.44618199999998), SPG (85.26695399999956), CTSH (95.08232000000028), SLB (95.94844399999968), CVS (96.83599199999976), APA (97.21946300000006)"
"FCX: CF (61.64567899999995), NRG (72.49775499999984), STX (74.92594800000012), TSCO (76.50551), URI (76.60809399999987), NUE (77.26653699999991), AMAT (80.13316400000004), STLD (80.21824800000017), SPGI (81.20900899999995), SHW (81.23242199999997)"
"GRMN: ZTS (33.345044), ADSK (37.70388400000005), PLD (39.01147300000002), LYV (39.303821), A (40.75384700000006), CRM (41.74663900000005), SHW (43.78366799999996), BX (43.833578000000045), DPZ (44.20936000000007), INTU (44.23803400000004)"
"IT: ETN (36.660235000000014), TT (41.62853199999992), AJG (41.65187200000003), DHI (42.391880000000015), NUE (45.39027199999996), MSI (46.40828299999997), LIN (50.15585400000009), ACN (50.32630900000008), CTAS (52.01750099999984), BRO (54.84937000000014)"
"GEN: SCHW (46.92373500000001), CBRE (47.158019999999965), BAC (49.47298399999998), AES (50.31860200000009), FITB (50.4029149999998), BLK (51.41667699999994), RHI (53.035394000000025), EBAY (53.80881099999974), PNC (55.93951499999996), EXR (58.60515000000005)"
"GNRC: MTCH (32.142727999999934), EPAM (51.55899500000002), PAYC (59.12574900000005), ZBRA (69.71615300000008), ALGN (91.41642800000008), ENPH (92.75007800000007), CZR (103.54495299999984), MKTX (114.53824899999988), TSLA (120.52206600000018), CRL (122.28774199999988)"
"GD: TRV (32.99101199999997), PEG (43.05552500000006), PSX (44.53462500000006), STZ (44.97234999999991), SO (45.394155), GL (47.3758840000001), CNP (47.74823799999993), PM (48.28513200000004), MDLZ (49.53244799999992), HIG (52.27423899999994)"
"GE: SLB (94.58557699999992), TAP (99.67617400000027), HAL (108.48962199999976), APA (109.578485), KMI (119.7955509999999), EQT (125.52696800000008), OXY (137.3846350000001), BKR (141.8742560000002), IVZ (142.11184200000028), DAL (147.3232569999996)"
"GIS: PEP (49.22136199999984), MDLZ (50.623875999999925), KR (50.820130000000006), XOM (55.20235900000009), LKQ (55.27228199999976), PFG (56.876239000000105), AEP (56.92426599999997), LH (57.0140890000001), DUK (57.01849499999984), SNA (58.99898400000013)"
"GM: PFE (52.42858299999982), APTV (57.41535899999983), COF (58.06704800000008), SWKS (61.089167000000046), KMX (62.222955000000034), PNC (63.73253100000006), CFG (66.70312099999974), EXPE (67.66708599999994), CPT (69.36453799999987), EMN (71.43397200000003)"
"GPC: PEP (36.534850999999975), PSA (38.10311800000001), CVX (42.22405000000007), SRE (43.592529000000056), DTE (45.13614000000005), MDLZ (45.328839), SO (45.68743299999998), UPS (46.420056999999936), PEG (47.17169300000005), SNA (47.2276429999998)"
"GILD: HST (91.81787600000015), WAB (92.9182220000001), MO (93.80314700000014), BWA (97.2295500000002), IBM (97.75771299999975), FRT (100.38180500000024), CPB (106.4645899999997), CVS (109.99156199999976), JNPR (110.4163779999999), BMY (111.2258930000001)"
"GPN: TFX (41.46156600000006), NKE (47.011611), DG (49.867379), GRMN (52.264137000000034), CHTR (53.149160000000016), EXR (54.06250799999997), EL (54.75843400000004), TROW (55.28767999999998), EW (55.83647300000011), RMD (55.904674)"
"GL: PEG (39.67943499999995), SO (43.75728699999998), CNP (45.24319599999991), KO (45.90440300000001), ED (46.45232500000005), GD (47.3758840000001), PG (48.23156300000007), NI (49.24270499999994), JNJ (49.834034000000045), WTW (51.025291999999965)"
"GS: PFG (35.75653099999989), TEL (36.86689699999996), LH (40.26765800000002), CMI (40.34985900000001), JBHT (41.01351599999999), MET (42.00565500000004), DGX (44.381919999999965), NXPI (46.42823400000011), CI (47.31427900000013), PNR (49.10051299999996)"
"HAL: SLB (70.62377100000016), APA (72.0078589999999), DD (85.15994000000022), EQT (85.90068000000011), SPG (90.54340100000022), TPR (91.26369899999996), OXY (93.17487799999988), DAL (94.46025699999996), BKR (97.02068399999996), VTR (97.58342499999996)"
"HIG: TRV (31.998894), CB (40.16818399999992), PEG (45.72360200000002), EMR (48.820286000000046), LKQ (49.82017700000013), GD (52.27423899999994), MDLZ (54.935316000000064), PEP (55.24425299999989), PSX (56.06312599999993), L (56.83881599999993)"
"HAS: USB (65.0539039999999), INTC (70.9455069999999), ESS (75.19845200000012), PFE (80.08571999999984), MDT (80.15721700000006), TSN (80.51697200000004), C (81.9281210000001), MMM (81.93592299999982), MTB (84.26760900000016), TFC (86.14670600000002)"
"HCA: CAT (37.84550499999997), LIN (41.52700800000007), ADI (42.058424000000045), RJF (43.544877999999954), MCHP (45.13553700000011), NVR (45.263208000000006), TT (46.48441200000006), LOW (47.08315800000001), ROL (47.41288), MCO (47.73299899999979)"
"PEAK: ZBH (61.60419499999974), D (68.65047900000012), LUV (69.26725299999983), IP (73.04482899999987), IFF (76.35191299999968), BMY (77.01840799999987), VZ (77.07152199999985), CTSH (77.6409260000001), EQR (82.60199899999971), C (84.15012299999975)"
"HSIC: AMCR (45.35741400000006), KMB (55.95495199999994), REG (56.025674000000194), SJM (57.99235299999993), IBM (59.18230399999989), JNPR (60.64376600000007), VZ (61.63636000000009), OMC (64.536247), BK (66.53856600000003), EIX (69.34623499999991)"
"HSY: MAA (38.86930399999997), MCD (39.03395199999998), ABT (39.61781500000003), ITW (43.39567199999995), KDP (43.99820800000008), AMT (44.827477000000016), AIZ (44.97922899999999), JKHY (45.245028000000026), BLK (46.21835400000002), UNP (46.36317300000004)"
